mu_r	val
4520.0	148.84858075603637
4540.0	147.0000718529143
4560.0	148.8661437862295
4580.0	151.42740714123246
4600.0	149.1447178348112
4620.0	146.59623483505456
4640.0	147.40245232477977
4660.0	149.07729471439364
4680.0	151.5441585177541
4700.0	149.39145621069093
4720.0	149.1137572770884
4740.0	149.1408905115283
4760.0	149.09935715426374
4780.0	147.4526593526666
4800.0	148.6562328177637
4820.0	150.42462047251064
4840.0	148.66005011002946
4860.0	149.5553228020278
4880.0	148.58351162217758
4900.0	149.2665328620167
4920.0	149.63635417247926
4940.0	149.65486369791896
4960.0	150.69487106365224
4980.0	148.1794924627532
5000.0	148.7415663176369
5020.0	149.49968794154157
